"","RIPCre.2.1","RIPCre.2.2","RIPCre.2.3","RIPCre.2.4","RIPCre.2.5","RIPCre.2.6","RIPCre.2.7","RIPCre.2.8","RIPCre.2.9","RIPCre.2.10","RIPCre.2.11","RIPCre.2.12","RIPCre.2.13","RIPCre.2.14","RIPCre.2.15","RIPCre.2.17","RIPCre.2.24","RIPCre.2.25","RIPCre.2.26","RIPCre.2.27","RIPCre.2.29","RIPCre.2.31","RIPCre.2.32","RIPCre.2.34","RIPCre.2.43"
"42430",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0
"42431",27.28,0,0,0.09,0,40.92,0,21.12,27.03,19.24,18.78,21.26,45.11,0,0,12.96,0,0.14,19.59,21.39,0.4,3.04,33.41,0.98,0.27
"42432",0.1,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0
"42433",0.14,17.57,0,0,0,0,0,17.4,0,17.27,38.84,64.4,3.88,0,20.23,0,10.53,0,0.45,0,22.59,6.21,0,0,3.27
"42434",32.92,0.35,0.09,20.83,8,0.1,9.26,23.01,17.53,0.08,2.37,6.23,20.78,18.61,8.76,0.18,44.33,0.14,0.24,44.99,6.6,0.47,14.7,3.94,0
"42435",7.22,11.2,15.24,77.94,57.17,49.45,56.33,18.6,11.59,15.85,31.51,6.02,69.84,0,9.48,0,0,61.75,19.6,4.4,47.31,11.58,24.47,29.63,0
"42436",26.04,24.43,0,7.12,38.16,4.57,0,17.03,0,18.48,0.41,5.24,27.57,14.36,0,16.53,35.43,0.48,0,22.06,32.83,0,22.47,0,0
"42437",0,9.3,62.12,0,0,0,8.6,0,51.33,21.18,27.33,28.8,0,50.3,41.66,2.06,0,22.74,0,0,11.93,0,42.95,51.92,102.97
"42438",0,17.36,0,0,24.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0
"42439",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.95,0,0,0,0,0,0,0
"42440",13.48,0,0.17,0,0,0,7.7,20.07,0,0,0,0,0,0,0.88,0,0,13.31,0,20.85,0,0,0,0,0
"42614",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.18,0,0,0
"42615",2.96,14.98,47.58,0.15,0,0,25.1,10.92,1.01,14.82,10.46,41.72,25.73,39.74,7.53,0,1.38,3.32,73.14,1.48,3.49,0,0,0,0
"42616",93.64,52.54,82.47,69.92,27.12,77.78,64.53,77.67,18.65,64.11,95.03,50.35,75.44,77.93,51.75,56.47,88.69,56.43,39.17,15.38,24.78,63.16,34.76,28.09,12.19
"42617",0,0,0,2.31,0,0,73.05,69.33,78.52,0,0,0,78.74,0,50.71,54.13,62.26,81.11,45.17,0,0,0,0,57.01,0
"42619",61.64,0,0,11.06,0,0,41.19,0,6.91,0,4.85,0,28.53,9.51,19.56,0,1.96,0,29.53,9.26,0,0.25,42.52,27.73,0
"42620",74.61,44.67,96.32,18.91,58.26,67.69,64.86,4.75,7.69,26.39,44.3,34.02,33.84,57.1,18.78,46.05,50.21,58.15,49.88,45.21,32.94,33.04,56.14,47.57,78.38
"42621",9.2,14.29,24.99,8.23,0,0,16.7,16.35,35.17,38.28,40.12,27.78,46.36,21.02,29.17,11.13,3.55,0,25.03,0,14.6,20.14,27.33,22.32,51.69
"42622",0,0,26.79,10.93,16.62,0,0,2.49,0.26,34.89,29.72,16.08,0,0,0,0,21.61,0,0,0,11.79,28.37,29.34,0,0
"42623",0,0,0,0,0,0,0.34,0,0,0,0,0,0,1.05,0,0,0,0,1.2,0,0,0,0,0,0
"42624",5.81,24.47,29.77,21.45,0,0,49.21,0,26.93,12,2.15,0.22,35.26,86.03,2.18,0,29.43,14.62,2.97,31.85,14.44,0,0,0.2,0
"42625",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42627",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42628",163.03,175.41,217.79,160.17,75.64,174.09,103.63,129.96,47.02,56.53,121.74,205.97,113.35,179.45,96.64,103.34,153.92,142.06,166.14,68.2,102.4,107.07,124.15,24.53,196.71
"0610005C13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610007P14Rik",69.26,0,10.88,1.78,84.24,0,52.11,71.9,68.66,106.61,0,0,0,1.41,17.04,9.25,0,52.04,41.59,0,1.9,0,0,55.04,0
"0610009B22Rik",120.31,74.49,91.96,0,127.8,146.51,0,83.2,46.91,124.94,87.36,194.88,49.88,0,20.45,123.6,0,197.93,35.42,184.46,41.55,81.35,46.22,43.3,0
"0610009L18Rik",55.82,41.85,0,41.91,0,0,0,0,0,0,53.09,0,109.22,65.02,0,16.18,44.66,0,1.03,0,0,0,0,0,255.95
"0610009O20Rik",2.19,28,0,16.07,0,0,3.96,2.65,51.47,31.31,0,6.23,0.51,0,0.58,4.23,0.12,0,35.71,0,0,0,17.13,0,0
"0610010B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610010F05Rik",22.34,2.94,0,26.49,0.58,50.77,0,0,3.96,0,35.54,0,0,41.71,2.37,13.08,53.89,0,4.77,1.8,4.61,0,0,2.38,0
